 Category,Responsible Person,Publishing Date ,Platform (ENG/CN),Country,Blog Title ,Subtitle/Snippet (For Web),GD Image Link/Video Link,Related Mojo Website Case/Media for Cross Linking,INFLUENCERS,HASHTAGS,ENGLISH (Linkedin / FB)  - BITIC CHECK,ENGLISH (Instagram)  - BITIC CHECK,ENGLISH (Twitter)  - BITIC CHECK,CHINESE (SIMPLIFIED) - MAINLAND/SINGAPORE/MALAYSIA,CHINESE (TRADITIONAL) - TAIWAN/HK,SPANISH + CATALAN,JAPANESE
MOJO Think,Eunice/David/,2020-5-8,Mojo Web,Taichung,FIND YOUR MOJO : Vol 2. Taichung,,,Linke to MOJO press/Think,,,,,,,,,
MOJO Think,Eunice/David/,2020-5-11,FB/LI/IG,Taichung,FIND YOUR MOJO : Vol 2. Taichung,,,Linke to MOJO press/Think,,,,,,,,,
MOJO News,Pooja/Eunice,2020-5-18,FB/LI/IG,Global,GDMA Lectures in Globis no.1 MBA ,,,https://www.globis.ac.jp/unlimited-offer/,,#GlobalDigitalMOJO #MOJOacademy #GDMAcademy #digitaltranformation #education #marketing #strategy #creativity #japan #mba #globisuniversity,"Great opportunity! GLOBIS University has implemented GLOBIS Unlimited, “business micro learning from Japan’s No. 1 MBA ,” In order to support people worldwide who are staying home. We are glad you announce GDMA lectures & interviews by our very own Dr. David Williams are included in this programme. To know more about the programme visit https://www.globis.ac.jp/unlimited-offer/",,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MOJO Think,David/Daniam,2020-5-17,Mojo Web/LI,Hong Kong,FIND YOUR MOJO : Vol 3. Hong Kong,,,Linke to MOJO press/Think,,,,,,,,Need translation,
MOJO Think,David/Daniam,2020-5-18,FB/LI/IG,Hong Kong,FIND YOUR MOJO : Vol 3. Hong Kong,,,Linke to MOJO press/Think,,,,,,,,Need translation,
MOJO News,Eunice/ Adi,2020-5-20,FB/LI/IG,Global,"MOJO MIXES: 
Music for creativity ",,https://drive.google.com/drive/u/1/folders/1nLfZ1JrOKu9Gm4FIaTPC4ujc-00kWkEU,,@soundcloud @deeplonifrequency @printomake,#MOJOThink #SOUNDCLOUD #MOJOMIXES #technology #Design #Creativity,"Global Digital MOJO, a leading digital communications agency. We focus on the developing innovative concepts, branding and user-driven experiences. While COVID-19 locks us indoors, being creative is hard, MOJO is sharing a small insight into how the team uses music to keep itself motivated and creative. Check our page for mixes we've produced; we love creativity and music helps us make the creativity juices flow. Listen to our MOJO Mixes at our SoundClound Channel. Link here: 
Have a listen, and enjoy!",,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
